symbol, name
RWC.AX, Reliance Worldwide Corporation Ltd
S32.AX, SOUTH32 Ltd
SBM.AX, ST Barbara Ltd  
SCG.AX, Scentre Group
SCP.AX, Shopping Centres Australasia Property Group
SDF.AX, Steadfast Group Ltd  
SEK.AX, Seek Ltd
SFR.AX, Sandfire Resources Ltd  
SGM.AX, Sims Ltd
SGP.AX, Stockland
SGR.AX, The Star Entertainment Group Ltd
SHL.AX, Sonic Healthcare Ltd
SIQ.AX, Smartgroup Corporation Ltd
SKC.AX, Skycity Entertainment Group Ltd
SKI.AX, Spark Infrastructure Group
SLK.AX, Sealink Travel Group Ltd
SLR.AX, Silver Lake Resources Ltd
SNZ.AX, Summerset Group Holdings Ltd
SOL.AX, Washington H Soul Pattinson & Company Ltd
SPK.AX, Spark New Zealand Ltd
STO.AX, Santos Ltd
STW.AX, SPDR S&P/ASX 200 Fund
SUL.AX, Super Retail Group Ltd
SUN.AX, Suncorp Group Ltd  
SVW.AX, Seven Group Holdings Ltd
SYD.AX, Sydney Airport
TAH.AX, Tabcorp Holdings Ltd
TCL.AX, Transurban Group
TLS.AX, Telstra Corporation Ltd
TLT.AX, Tilt Renewables Ltd
TLX.AX, TELIX Pharmaceuticals Ltd
TNE.AX, Technology One Ltd
TPG.AX, TPG Telecom Ltd
TPW.AX, Temple & Webster Group Ltd
TWE.AX, Treasury Wine Estates Ltd
TYR.AX, Tyro Payments Ltd
UMG.AX, United Malt Group Ltd
URW.AX, Unibail-Rodamco-Westfield
UWL.AX, Uniti Group Ltd
VAF.AX, Vanguard Australian Fixed Interest INDEX ETF
VAP.AX, Vanguard Australian Property Securities INDEX ETF
VAS.AX, Vanguard Australian Shares INDEX ETF
VCX.AX, Vicinity Centres
VEA.AX, Viva Energy Group Ltd
VEU.AX, Vanguard All-World Ex-US Shares INDEX ETF
VGAD.AX, Vanguard MSCI INDEX International Shares (Hedged) ETF
VGS.AX, Vanguard MSCI INDEX International Shares ETF
VHY.AX, Vanguard Australian Shares High Yield ETF
VOC.AX, Vocus Group Ltd
VTS.AX, Vanguard US Total Market Shares INDEX ETF
VUK.AX, Virgin Money Uk Plc
WAM.AX, WAM Capital Ltd
WBC.AX, Westpac Banking Corporation
WEB.AX, Webjet Ltd
